experiment,run_date,dataset,embedding_model,chunk_size,chunk_overlap,search_type,top_k,fetch_k,lambda_mult,use_reranker,reranker_model,reranker_top_n,generation_llm,judge_llm,temperature,faithfulness,answer_relevancy,context_precision,context_recall,retrieval_mode,avg_pipeline_latency,avg_generation_latency,avg_retrieval_latency,avg_prompt_latency,avg_total_tokens,ragas_evaluation_seconds,avg_reranker_latency,avg_chunks_retrieved,avg_chunks_after_reranker,avg_prompt_tokens,avg_completion_tokens
all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-05 18:30:29,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,0.923,0.968,0.867,1.0,,,,,,,,,,,,
faiss_20260706_122526_reranker,20260706_122526,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,,,,,faiss,,,,,,,,,,,
faiss_20260706_122933_reranker,20260706_122933,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,,,,,faiss,,,,,,,,,,,
faiss_20260706_124637_reranker,20260706_124637,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,,,,,faiss,,,,,,,,,,,
faiss_20260706_131051_reranker,20260706_131051,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,0.917,0.968,0.867,1.0,faiss,,,,,,,,,,,
faiss_20260706_214041_reranker,20260706_214041,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,0.968,0.867,1.0,faiss,17.7666,5.6482,2.7002,0.0007,858.0,44.2685,9.4169,15.0,5.0,710.0,148.0
hybrid_20260706_215133_reranker,20260706_215133,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,True,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,1.0,0.968,1.0,1.0,hybrid,13.5415,4.2625,4.0521,0.0003,860.0,12.3557,5.2264,15.0,5.0,706.0,154.0
hybrid_20260706_215506_no_reranker,20260706_215506,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,False,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,0.875,0.968,0.833,1.0,hybrid,3.1772,2.5037,0.6732,0.0002,1776.0,53.9455,0.0,15.0,15.0,1689.0,87.0
faiss_20260706_215707_no_reranker,20260706_215707,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,False,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,0.818,0.995,0.445,1.0,faiss,2.7071,2.3634,0.3433,0.0003,1790.0,50.699,0.0,15.0,15.0,1656.0,134.0
faiss_20260707_102807_no_reranker,20260707_102807,dataset_v2,sentence-transformers/all-mpnet-base-v2,700,150,mmr,15,30,0.4,False,BAAI/bge-reranker-base,5,gpt-4o-mini,gpt-5.4-mini,1.0,0.818,0.968,0.461,1.0,faiss,7.9855,5.5754,2.4097,0.0002,1765.0,52.1322,0.0,15.0,15.0,1656.0,109.0
